,E300 AUTO 7 SPEED,6112500,;
,E320 SEDAN,8183890,;
,E320 T MODEL,8648040,;
,E320 AUTO,9106080,;
,E350 CDI AUTO,9500000,;
,S280 SEDAN,8288980,;
,S320 MANUAL,10570300,;
,S320 AUTO,10910600,;
,S320 LWR SEDAN,11289100,;
,S350L,13214300,;
,S350L,13969400,;
,S420 SEDAN,12803100,;
,S420 AUTO,13532700,;
,S 500,15876200,;
,S500 AUTO ,15007600,;
,CL420 COUPE,16334100,;
,CL500 COUPE,16943300,;
,CL600 COUPE,21750000,;
,CLK230 K COUPE,5880150,;
,CLK320 COUPE,8172230,;
,ML 280 CDI,7884000,;
,ML 300 TURBO INTERCOOLER 6 CYL LOW SPEC AUTO,7074200,;
,ML 320 CDI,8891400,;
,ML 350 CDI TURBO INTERCOOLER 6 CYL HIGH SPECS,7807700,;
,SEL 300,13697800,;
,SL320 ROADASTER,13470100,;
,SL500 ROADSTER,16541100,;
,SL600 ROADSTER,21093600,;
,SLK200,6632270,;
,SLK200,6032080,;
,SLK230,7238220,;
,MB 313 SPRINTER VAN,3387780,;
,MB 308 SPRINTER VAN,3852000,;
,MB 413 VAN,3772760,;
,GL350 CDI,10269000,MERCEDES:;
MITSUBISHI:;,COLT,1600000,;
,CANTER FE515B8RB12,2150640,;
,CANTER FE635E6RB11,2679600,;
,CANTER FE635E6RB11 (BUS),2151800,;
,CANTER FE659F6RB11,3166800,;
,CANTER FE659F6RB11 (BUS),2575200,;
,CANTER FE83CEV 4D33,2774920,;
,CANTER FE83CEV 4D33,3230020,;
,CANTER FE83,3461000,;
,DELICA,1955000,;
,DELICA,2360000,;
,FE635/ KK-FE51CB,1669500,;
,FH - FH215JBRB11,4280400,;
,FH - FH215JBRB11,4495000,;
,FH - FH215JBRB11 (BUS),3340800,;
,FM657LR11 (BUS),3844190,;
,FM657LRB11 (TRK),4423420,;
,FN 627 RSR B11,6984000,;
,FUSO - FV517JR2RB11,5782120,;
,FUSO FM615LHRB11 (BUS),5794200,;
,FUSO FM615LHRB11 (TRK),5794200,;
,FUSO FM657LRB11 4X2 TURBO,6565600,;
,FUSO FN 617RSRB11 6X2,8107240,;
,FUSO FN 627RSRB11 6X4,9013200,;
,FUSO FK618K,6871400,;
,FUSO FK618K,7200000,;
,FUSO FV 515HRRB11,7760000,;
,FUSO FV517JR2RB1A 6X4,9040000,;
,GALANT - EA2ASNHER,2586800,;
,GALANT - EA2ASRHER AUTO (K97),2586800,;
,L200 - K12TUNSRK,1334000,;
,L200 - K14TUNSRK,1461600,;
,L200 - K34TUNSRK,1705200,;
,L200 - K74TJENSR/AC (LA4),2737600,;
,L200 - KA4TNENMR,1850000,;
,L200 - KB7TNNENMR LSD,2509080,;
,L200 - KB7TNJNMR,3100680,;
,L200 - KB4TGJNXZR,3437000,;
,L200 - KB8TGJRXZR TURBO CHARGED DID,3845400,;
,LANCER - CS1ASNDEBR,1075000,;
,LANCER - CS1ASNDR (H29),1600000,;
,LANCER - CS3ASNJEBR,1954600,;
,LANCER - CS3ASTJER,2140200,;
,LANCER - CS3ASTJER,2472580,;
,LANCER - CT9ASNDFZR,2698220,;
,LANCER - CY2ASNSHR GLX MANUAL,2070000,;
,LANCER - CY2ASNSHR GLX AUTO,2289840,;
,LANCER - CY2ASNSR,2027190,;
,LANCER - CY2ASRSHR,2025350,;
,LANCER - CY4ASTMHR GLS AUTO,2825760,;
,LANCER - CY4ASTXHR GT  AUTO,3152880,;
